pollster,sample,sample_2,candidate,points,poll_start,poll_end
C-McLaughlin & Associates,450,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,castro,0,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,harris,4,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,inslee,0,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,sanders,15,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,o_rourke,4,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,harris,8,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,bullock,1,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,gravel,0,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,harris,6,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,biden,35,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,o_rourke,6,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,bullock,0,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,biden,36,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,yang,1,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,yang,1,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,yang,2,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,delaney,0,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,moulton,0,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,sanders,15,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,sanders,26,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,bloomberg,2,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,yang,1,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,sanders,14,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,o_rourke,8,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,bullock,0,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,castro,2,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,bullock,1,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,ryan,1,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,inslee,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,hickenlooper,0,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,delaney,1,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,avenatti,0,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,booker,2,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,inslee,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,delaney,1,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,messam,0,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,bullock,1,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,sanders,41,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,inslee,1,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,delaney,0,2019-06-06,2019-06-10
C+Harris Interactive,449,Registered Voters,biden,28,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,warren,3,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,sanders,16,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,harris,38,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,warren,11,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,sanders,18,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,delaney,1,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,bullock,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,delaney,1,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,biden,39,2019-06-06,2019-06-10
AFox News,469,Likely Voters,warren,9,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,williamson,0,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,castro,1,2019-06-06,2019-06-10
BYouGov,550,Adults,o_rourke,2,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,sanders,9,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,ryan,1,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,warren,5,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,delaney,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,hickenlooper,0,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,de_blasio,1,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,sanders,21,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,brown,1,2019-06-06,2019-06-10
BYouGov,550,Adults,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,holder,1,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,gravel,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,de_blasio,0,2019-06-06,2019-06-10
AFox News,403,Likely Voters,buttigieg,1,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,harris,19,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,klobuchar,3,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,delaney,0,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,gillibrand,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,hickenlooper,0,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,gravel,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,warren,41,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,biden,33,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,warren,5,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,warren,7,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,klobuchar,3,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,bullock,1,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,moulton,0,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,o_rourke,9,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,warren,7,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,o_rourke,8,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,kucinich,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,biden,36,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,holder,0,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,sanders,16,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,brown,1,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,harris,8,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,m_obama,17,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,castro,1,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,bennet,0,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,kerry,1,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,inslee,0,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,biden,36,2019-06-06,2019-06-10
AFox News,403,Likely Voters,gillibrand,2,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,cuomo,1,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,delaney,0,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,moulton,0,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,harris,8,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,harris,8,2019-06-06,2019-06-10
AFox News,469,Likely Voters,castro,2,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,biden,24,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,sanders,19,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,yang,1,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,o_rourke,5,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,kerry,4,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,yang,2,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,harris,8,2019-06-06,2019-06-10
C+Harris Interactive,337,Registered Voters,sanders,22,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,holder,1,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,warren,15,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,gabbard,1,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,o_rourke,14,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,buttigieg,6,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,o_rourke,7,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,delaney,1,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,kerry,4,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,williamson,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,brown,2,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,booker,5,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
AFox News,403,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,hickenlooper,1,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,schultz,0,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,ryan,1,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,castro,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,h_clinton,9,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,biden,27,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,buttigieg,0,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,booker,4,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,delaney,0,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,ojeda,1,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,gillibrand,3,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,booker,4,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,warren,7,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,harris,14,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,swalwell,0,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,booker,3,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,castro,1,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,castro,1,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,williamson,0,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,ryan,1,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,harris,4,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,booker,0,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,warren,6,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,gabbard,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,booker,3,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,castro,1,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,bloomberg,7,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,ryan,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,bloomberg,8,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,biden,30,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,gabbard,1,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,brown,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,warren,7,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
BYouGov,550,Adults,swalwell,0,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,delaney,0,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,ryan,1,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,inslee,0,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,gabbard,1,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,warren,5,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,buttigieg,4,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,bennet,0,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,buttigieg,10,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,mc_auliffe,1,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,bennet,1,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,harris,6,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,delaney,2,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,warren,7,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,gabbard,0,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,sanders,19,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,warren,6,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,inslee,1,2019-06-06,2019-06-10
AFox News,469,Likely Voters,harris,5,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,harris,9,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,o_rourke,11,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,castro,1,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,de_blasio,0,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,gabbard,1,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,delaney,0,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,gravel,0,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,biden,26,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,booker,2,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,gravel,1,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,gabbard,1,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,buttigieg,6,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,williamson,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,warren,7,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,schultz,0,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,o_rourke,4,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,messam,0,2019-06-06,2019-06-10
AFox News,403,Likely Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,ryan,1,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,swalwell,0,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,sanders,20,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,inslee,0,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,biden,31,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,inslee,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,biden,35,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,booker,3,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,brown,3,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,warren,8,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,messam,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,gabbard,0,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,yang,1,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,biden,36,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,williamson,1,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,buttigieg,8,2019-06-06,2019-06-10
BYouGov,550,Adults,buttigieg,9,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,yang,2,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,brown,1,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,brown,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,sanders,20,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,inslee,0,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,messam,0,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,castro,2,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,booker,2,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,messam,0,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,delaney,1,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,delaney,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,sanders,12,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,inslee,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,yang,1,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,biden,31,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,bennet,0,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,warren,9,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,hickenlooper,0,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,inslee,0,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,biden,33,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,o_rourke,4,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,o_rourke,11,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,buttigieg,0,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,h_clinton,12,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,harris,7,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,sanders,19,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,booker,4,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,sanders,14,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,yang,0,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,klobuchar,3,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,biden,29,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,moulton,0,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,booker,2,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,castro,0,2019-06-06,2019-06-10
C+Harris Interactive,459,Registered Voters,o_rourke,9,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,newsom,1,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,moulton,0,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,swalwell,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,sanders,26,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,williamson,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,biden,39,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,bullock,0,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,pelosi,1,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,bloomberg,4,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,harris,8,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,harris,9,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,gillibrand,0,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,o_rourke,3,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,biden,27,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,inslee,2,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,sanders,17,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,castro,2,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,de_blasio,0,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,sanders,20,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,bennet,1,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,booker,1,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,inslee,1,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,o_rourke,3,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,warren,8,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,bullock,0,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,klobuchar,1,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,o_rourke,7,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,de_blasio,0,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,bloomberg,2,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,biden,27,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,warren,4,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,booker,3,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,booker,2,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,biden,27,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,buttigieg,9,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,bloomberg,2,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,ryan,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,harris,7,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,warren,6,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,williamson,0,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,o_rourke,5,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,delaney,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,swalwell,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,gabbard,0,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,messam,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,booker,5,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,messam,0,2019-06-06,2019-06-10
